分片名称,本地路径,行数,sha256,飞书地址,飞书文件token,上传状态,备注
油烟机_20260515_01.csv,C:\code_20251212\AI\xhs\split_csv\油烟机\20260513\油烟机_20260515_01.csv,200,c18fb3b0e8f84e805dd247fc5bfc9762a841397f23fcba31bc4ba473ece81c9a,https://my.feishu.cn/sheets/ERcUs3V6Chb4rYtyZfZcLW7Wnne,ERcUs3V6Chb4rYtyZfZcLW7Wnne,已存在，已检查隐藏列,
油烟机_20260515_02.csv,C:\code_20251212\AI\xhs\split_csv\油烟机\20260513\油烟机_20260515_02.csv,200,a5cf59d3543fbad7ba927f9d187388f495578b5f35e4b5779eaceb7b6c961470,https://my.feishu.cn/sheets/XqjRsifKRholU9tNnuDceEGHnuf,XqjRsifKRholU9tNnuDceEGHnuf,已存在，已检查隐藏列,
油烟机_20260515_03.csv,C:\code_20251212\AI\xhs\split_csv\油烟机\20260513\油烟机_20260515_03.csv,200,b005492ef1fc995c6d315f3a1a246c6b13e3c992ca2442a066f6c74abc4baa04,https://my.feishu.cn/sheets/CcY1s2nq5hCb0nt3FVocvQ2YnKs,CcY1s2nq5hCb0nt3FVocvQ2YnKs,已存在，已检查隐藏列,
油烟机_20260515_04.csv,C:\code_20251212\AI\xhs\split_csv\油烟机\20260513\油烟机_20260515_04.csv,200,134935362632e3b68b6dbd811da924596e57b32ead63eeb0c71f02a0554ac263,https://my.feishu.cn/sheets/HWT7ssGZ4hw2FjtXMFSc5XypnGg,HWT7ssGZ4hw2FjtXMFSc5XypnGg,已存在，已检查隐藏列,
油烟机_20260515_05.csv,C:\code_20251212\AI\xhs\split_csv\油烟机\20260513\油烟机_20260515_05.csv,200,9aecd1e5da36793ed56b2cc427418e6c4be9f3231c48adb9f3d250a526a565da,https://my.feishu.cn/sheets/FUiCsemB6h3y0Ft50SAc7fKTnXe,FUiCsemB6h3y0Ft50SAc7fKTnXe,已存在，已检查隐藏列,
油烟机_20260515_06.csv,C:\code_20251212\AI\xhs\split_csv\油烟机\20260513\油烟机_20260515_06.csv,205,6afa13523d6fa2a7b934f67e3c8f14210848444608f9aa65787e319e7503185f,https://my.feishu.cn/sheets/MyuIsqLcNh79wrt1kHWcYUbInMg,MyuIsqLcNh79wrt1kHWcYUbInMg,已存在，已检查隐藏列,
