分片名称,本地路径,行数,sha256,飞书地址,飞书文件token,上传状态,备注
洗碗机_20260515_01.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260514\洗碗机_20260515_01.csv,200,76d7901963e622891dded75ab0311248a266acea378123f6ae25707a35c6d0f3,https://my.feishu.cn/sheets/GSkqszm7ch75Q7txHOEc6vJ4nxJ,GSkqszm7ch75Q7txHOEc6vJ4nxJ,已导入为电子表格,
洗碗机_20260515_02.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260514\洗碗机_20260515_02.csv,200,567e650268612c0403fa5c185da4c2fd0a1b3be6e107d42dd83bd757e9e5794a,https://my.feishu.cn/sheets/B8IXsU4ajhwjpVtwUC7cKq1un43,B8IXsU4ajhwjpVtwUC7cKq1un43,已导入为电子表格,
洗碗机_20260515_03.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260514\洗碗机_20260515_03.csv,122,7995063c70937e9515161a1e3575a0fc0150a82f0fb62cfa7b0a416941590c5b,https://my.feishu.cn/sheets/ImdVskLQYhKfPytWnoDcR5BRn3b,ImdVskLQYhKfPytWnoDcR5BRn3b,已导入为电子表格,
