行号,笔记标题,主页链接,原笔记地址,失败原因
31,老板寻鲜记,https://www.xiaohongshu.com/user/profile/620f529000000000210297d8,https://www.xiaohongshu.com/explore/69d002c0000000001a035933?xhsshare=CopyLink&type=video,"查找失败: Page.evaluate: Target page, context or browser has been closed"
32,蒸烤一体机选购攻略｜一篇治好你的选择困难,https://www.xiaohongshu.com/user/profile/5e8d5da00000000001001592,https://www.xiaohongshu.com/explore/69d4f171000000001d01a87e?xhsshare=CopyLink&type=video,账号需要完成登录/扫码验证，已停止后续处理
