行号,笔记标题,主页链接,原笔记地址,失败原因
22,#线下买家电 #嵌入式洗碗机 #美的洗碗机,https://www.xiaohongshu.com/user/profile/60a284e2000000000100b886,https://www.xiaohongshu.com/explore/6a053a11000000003601f72c?xhsshare=CopyLink&type=video,主页DOM未找到标题匹配且带xsec_token的卡片: #线下买家电 #嵌入式洗碗机 #美的洗碗机
40,马上要买家电了，求推荐,https://www.xiaohongshu.com/user/profile/5bc5293fa6395300013bf103,https://www.xiaohongshu.com/explore/6a05809d000000000702f837?xhsshare=CopyLink&type=video,主页DOM未找到标题匹配且带xsec_token的卡片: 马上要买家电了，求推荐
45,！！六一礼物还能这样送？,https://www.xiaohongshu.com/user/profile/6734a248000000001c01bba2,https://www.xiaohongshu.com/explore/6a053491000000003502a7d6?xhsshare=CopyLink&type=video,检测到登录/验证提示，请在浏览器中完成后重试
46,9.9r一箱📦、9.9r一箱📦,https://www.xiaohongshu.com/user/profile/5f1adc8d000000000101e3a2,https://www.xiaohongshu.com/explore/6a054c8f0000000007010c83?xhsshare=CopyLink&type=video,主页DOM未找到标题匹配且带xsec_token的卡片: 9.9r一箱📦、9.9r一箱📦
