行号,笔记标题,主页链接,原笔记地址,失败原因
24,蒸烤一体怎么搭？3 款型号精准匹配！,https://www.xiaohongshu.com/user/profile/61d307360000000021026d08,https://www.xiaohongshu.com/explore/69cf535c0000000022028734?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
25,语音蒸烤箱测评！这篇攻略直接抄作业,https://www.xiaohongshu.com/user/profile/62fdd317000000000f006f46,https://www.xiaohongshu.com/explore/69ce0768000000001a02ceff?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
26,412份「老板寻鲜记」惊喜好礼掉落🌈,https://www.xiaohongshu.com/user/profile/6890827c0000000028026564,https://www.xiaohongshu.com/explore/69cd08cb000000001a029839?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
27,东芝新款水波炉来袭！升级点全部说清❤️,https://www.xiaohongshu.com/user/profile/5dd5089a000000000100a672,https://www.xiaohongshu.com/explore/69cf5412000000001f00170e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
28,三周年纪念日，老公居然给我做了一桌子“草”,https://www.xiaohongshu.com/user/profile/58a861125e87e77f091105a1,https://www.xiaohongshu.com/explore/69ce27b00000000023023203?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
29,来看看我家高效厨房都有哪些实用的设计,https://www.xiaohongshu.com/user/profile/608e0d5b0000000001008143,https://www.xiaohongshu.com/explore/69cddb040000000023005310?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
30,188平复式，装着理想生活，也盛满人间烟火,https://www.xiaohongshu.com/user/profile/5bb9c1d22a88b40001e792f7,https://www.xiaohongshu.com/explore/69ccd318000000002100709e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
31,极简主义的尽头，是一面墙搞定所有功能,https://www.xiaohongshu.com/user/profile/5f7682580000000001003fa2,https://www.xiaohongshu.com/explore/69cf3760000000002103bf59?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
32,奥利奥生巧麻薯巴斯克🍫超浓郁❗️,https://www.xiaohongshu.com/user/profile/57557d477fc5b856384c6415,https://www.xiaohongshu.com/explore/69ccdf480000000023012f03?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
33,12年薄肌教练 | AI蒸烤机精准备餐不白练,https://www.xiaohongshu.com/user/profile/5c7384a80000000010038384,https://www.xiaohongshu.com/explore/69ce46e8000000002102cc91?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
34,巴掌大的厨房，被我整的井井有条👏,https://www.xiaohongshu.com/user/profile/55fe35cae4b1cf7ded22673b,https://www.xiaohongshu.com/explore/69cf7429000000002301d5e4?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
35,「老板寻鲜记」惊喜盒子掉落啦！,https://www.xiaohongshu.com/user/profile/65b9e475000000000e02405c,https://www.xiaohongshu.com/explore/69cf896c000000001d01ae09?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
36,早八人通勤救场⏰张凌赫同款厨电,https://www.xiaohongshu.com/user/profile/66641f1b00000000030321f0,https://www.xiaohongshu.com/explore/69ce400f000000002800b25d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
37,84㎡小家｜装出普通人望尘莫及的高级感✨,https://www.xiaohongshu.com/user/profile/5fd8390f00000000010094de,https://www.xiaohongshu.com/explore/69ce973b000000001f0076f8?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
38,宝妈带娃做饭难😫靠这款微蒸烤一体机救场,https://www.xiaohongshu.com/user/profile/654e589a0000000008003ce8,https://www.xiaohongshu.com/explore/69ce4276000000001b0022dd?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
39,4.2号《🔍老板寻鲜记》400份,https://www.xiaohongshu.com/user/profile/68671d9e000000001d009b98,https://www.xiaohongshu.com/explore/69ce0af9000000001a035097?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
40,4.2🎁｜412份「老板」寻鲜记惊喜盒子掉落中,https://www.xiaohongshu.com/user/profile/6965cf1b0000000037029e39,https://www.xiaohongshu.com/explore/69cd1489000000001a0308d3?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
41,2K预算拿下5K配置？小户型微蒸烤天花板！,https://www.xiaohongshu.com/user/profile/5d118765000000001601b290,https://www.xiaohongshu.com/explore/69cb9d9500000000230153ed?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
42,方太蒸烤一体机大测评，不同人群怎么选！,https://www.xiaohongshu.com/user/profile/654dff40000000000203631b,https://www.xiaohongshu.com/explore/69cc7cb5000000002100599a?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
43,懒人厨房神器！一机顶多机器绝了👍,https://www.xiaohongshu.com/user/profile/5d36a4a60000000011027b44,https://www.xiaohongshu.com/explore/69ce1e02000000001a032625?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
44,4.2🎁412份「老板寻鲜记」限时掉落,https://www.xiaohongshu.com/user/profile/69b664f1000000003401a91b,https://www.xiaohongshu.com/explore/69cd5394000000002103a477?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
45,老板限时惊喜好礼来袭～,https://www.xiaohongshu.com/user/profile/69bbe238000000003201b27a,https://www.xiaohongshu.com/explore/69ce5be40000000021039e08?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
46,抄作业！4㎡开放式小厨房,https://www.xiaohongshu.com/user/profile/641544b7000000001102132e,https://www.xiaohongshu.com/explore/69c1097f000000002301ca75?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
