分片名称,本地路径,行数,sha256,飞书地址,飞书文件token,上传状态,备注
洗碗机_20260516_01.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260515\洗碗机_20260516_01.csv,200,13840838ff3e62a83a07b35e63d9cfb61ac0e9fe45caca409b885840469de056,https://my.feishu.cn/sheets/TXkKsY0uRhvfaotJvzVcD3QCnIe,TXkKsY0uRhvfaotJvzVcD3QCnIe,已导入为电子表格,
洗碗机_20260516_02.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260515\洗碗机_20260516_02.csv,200,e3c1ee249cf40fb49cd14fed73c79fc3224f1edd232c0411740fb51be286cd22,https://my.feishu.cn/sheets/I2nPsDiSbhUTXYtQcU6cexrMnKh,I2nPsDiSbhUTXYtQcU6cexrMnKh,已导入为电子表格,
洗碗机_20260516_03.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260515\洗碗机_20260516_03.csv,200,129e3b5b87f7aac1531ebaf5bc0ed6f12ebad9fda639effafba97cf1c32f03c5,https://my.feishu.cn/sheets/EAOLsqXuKhVT8OtiGU4ctqBunmV,EAOLsqXuKhVT8OtiGU4ctqBunmV,已导入为电子表格,
洗碗机_20260516_04.csv,C:\code_20251212\AI\xhs\split_csv\洗碗机\20260515\洗碗机_20260516_04.csv,206,151929c7ab4c7596a65e6359db22c155f54043dc3c175954bc67068f18e56fd0,https://my.feishu.cn/sheets/QLOBsnuxEhLT3pthYZhcLgijnIb,QLOBsnuxEhLT3pthYZhcLgijnIb,已导入为电子表格,
